Problem,Method,Benchmark,Instance,n,m,LB,UB,Gap,ActualTime,BKS,RPD
Tardinessflowshop,CPLEX_CP,Eva,182,50,10,1024,14142,0.927591571,3600.109,11066,21.75081318
Tardinessflowshop,CPLEX_CP,Eva,183,50,10,1096,14535,0.924595803,3600.118,12065,16.99346405
Tardinessflowshop,CPLEX_CP,Eva,184,50,10,1136,14897,0.923743036,3600.144,12078,18.92327314
Tardinessflowshop,CPLEX_CP,Eva,185,50,10,1185,16837,0.929619291,3600.127,14884,11.59945358
Tardinessflowshop,CPLEX_CP,Eva,186,50,30,4332,56448,0.923256803,3600.258,47354,16.11040249
Tardinessflowshop,CPLEX_CP,Eva,187,50,30,4078,50647,0.919481904,3600.198,42903,15.29014552
Tardinessflowshop,CPLEX_CP,Eva,188,50,30,3854,51196,0.924720681,3600.247,44761,12.56934135
Tardinessflowshop,CPLEX_CP,Eva,189,50,30,1384,47539,0.970887061,3600.273,42447,10.71120554
Tardinessflowshop,CPLEX_CP,Eva,190,50,30,1727,51067,0.966181683,3600.313,41696,18.35040241
Tardinessflowshop,CPLEX_CP,Eva,191,50,50,25628,88106,0.709123102,3600.318,75127,14.73111933
Tardinessflowshop,CPLEX_CP,Eva,192,50,50,20472,82002,0.750347552,3600.359,73045,10.92290432
Tardinessflowshop,CPLEX_CP,Eva,193,50,50,23712,85592,0.722964763,3600.354,74284,13.21151509
Tardinessflowshop,CPLEX_CP,Eva,194,50,50,18478,77624,0.761955065,3600.319,67001,13.68520045
Tardinessflowshop,CPLEX_CP,Eva,195,50,50,28241,90544,0.688096395,3600.393,78239,13.59007775
Tardinessflowshop,CPLEX_CP,Eva,196,150,10,2619,80753,0.967567768,3600.291,70165,13.11158719
Tardinessflowshop,CPLEX_CP,Eva,197,150,10,2669,82732,0.967739206,3600.274,64473,22.07005754
Tardinessflowshop,CPLEX_CP,Eva,198,150,10,2840,79805,0.964413257,3600.332,64174,19.58649207
Tardinessflowshop,CPLEX_CP,Eva,199,150,10,2716,91174,0.970210806,3600.188,79074,13.27132735
Tardinessflowshop,CPLEX_CP,Eva,200,150,10,2495,91400,0.972702407,3600.255,72329,20.8654267
Tardinessflowshop,CPLEX_CP,Eva,201,150,30,3220,198793,0.983802247,3600.487,149272,24.9108369
Tardinessflowshop,CPLEX_CP,Eva,202,150,30,2922,221934,0.986833924,3600.497,159729,28.0286031
Tardinessflowshop,CPLEX_CP,Eva,203,150,30,3090,230669,0.986604182,3600.615,167723,27.28845228
Tardinessflowshop,CPLEX_CP,Eva,204,150,30,3113,231145,0.986532263,3600.496,171146,25.95729953
Tardinessflowshop,CPLEX_CP,Eva,205,150,30,3090,230427,0.986590113,3600.637,166397,27.78754226
Tardinessflowshop,CPLEX_CP,Eva,206,150,50,3268,359208,0.990902207,3600.625,272972,24.00726042
Tardinessflowshop,CPLEX_CP,Eva,207,150,50,3426,339647,0.989913057,3600.863,264953,21.99165604
Tardinessflowshop,CPLEX_CP,Eva,208,150,50,3279,372661,0.991201118,3600.899,271804,27.06400723
Tardinessflowshop,CPLEX_CP,Eva,209,150,50,3466,396975,0.991268972,3601.07,294615,25.78499906
Tardinessflowshop,CPLEX_CP,Eva,210,150,50,3385,370131,0.990854589,3600.947,280726,24.15496135
Tardinessflowshop,CPLEX_CP,Eva,211,250,10,4334,197193,0.978021532,3600.392,167837,14.88693818
Tardinessflowshop,CPLEX_CP,Eva,212,250,10,4198,216880,0.980643674,3600.361,176923,18.42355219
Tardinessflowshop,CPLEX_CP,Eva,213,250,10,4296,214495,0.979971561,3600.353,169847,20.81540362
Tardinessflowshop,CPLEX_CP,Eva,214,250,10,4208,202169,0.979185731,3600.27,173291,14.28408905
Tardinessflowshop,CPLEX_CP,Eva,215,250,10,4014,234221,0.982862339,3600.345,193304,17.46939856
Tardinessflowshop,CPLEX_CP,Eva,216,250,30,4666,474600,0.990168563,3600.898,305479,35.63442899
Tardinessflowshop,CPLEX_CP,Eva,217,250,30,4578,544042,0.991585208,3600.915,369768,32.03318861
Tardinessflowshop,CPLEX_CP,Eva,218,250,30,4457,491827,0.99093787,3600.659,337715,31.33459529
Tardinessflowshop,CPLEX_CP,Eva,219,250,30,4641,475376,0.990237202,3600.759,317791,33.14954899
Tardinessflowshop,CPLEX_CP,Eva,220,250,30,4500,481161,0.990647621,3600.623,323657,32.73415759
Tardinessflowshop,CPLEX_CP,Eva,221,250,50,4951,789060,0.993725445,3600.892,541738,31.34387753
Tardinessflowshop,CPLEX_CP,Eva,222,250,50,5159,737261,0.993002478,3601.276,499086,32.30538439
Tardinessflowshop,CPLEX_CP,Eva,223,250,50,4999,785704,0.993637553,3601.271,529725,32.57957195
Tardinessflowshop,CPLEX_CP,Eva,224,250,50,5005,784058,0.993616544,3601.04,540981,31.00242584
Tardinessflowshop,CPLEX_CP,Eva,225,250,50,4955,782111,0.993664582,3601.205,546185,30.16528344
Tardinessflowshop,CPLEX_CP,Eva,226,350,10,5637,396931,0.985798539,3600.396,336781,15.15376728
Tardinessflowshop,CPLEX_CP,Eva,227,350,10,5683,447698,0.987306175,3600.471,336045,24.93935644
Tardinessflowshop,CPLEX_CP,Eva,228,350,10,5722,422537,0.986457991,3600.424,324445,23.21500839
Tardinessflowshop,CPLEX_CP,Eva,229,350,10,5642,485908,0.988388748,3600.564,366839,24.50443294
Tardinessflowshop,CPLEX_CP,Eva,230,350,10,5825,388915,0.985022434,3600.404,332877,14.40880398
Tardinessflowshop,CPLEX_CP,Eva,231,350,30,6210,943939,0.993421185,3600.926,563333,40.32103769
